price,area,bedrooms,bathrooms,stories,airconditioning,parking,prefarea,price_per_area
13300000,7420,4,2,3,yes,2,yes,1792.4528301886792
12250000,8960,4,4,4,yes,3,no,1367.1875
12250000,9960,3,2,2,no,2,yes,1229.9196787148594
12215000,7500,4,2,2,yes,3,yes,1628.6666666666667
11410000,7420,4,1,2,yes,2,no,1537.7358490566037
10850000,7500,3,3,1,yes,2,yes,1446.6666666666667
10150000,8580,4,3,4,yes,2,yes,1182.983682983683
10150000,16200,5,3,2,no,0,no,626.5432098765432
9870000,8100,4,1,2,yes,2,yes,1218.5185185185185
9800000,5750,3,2,4,yes,1,yes,1704.3478260869565
9800000,13200,3,1,2,yes,2,yes,742.4242424242424
9681000,6000,4,3,2,no,2,no,1613.5
9310000,6550,4,2,2,yes,1,yes,1421.3740458015268
9240000,3500,4,2,2,no,2,no,2640.0
9240000,7800,3,2,2,no,0,yes,1184.6153846153845
9100000,6000,4,1,2,no,2,no,1516.6666666666667
9100000,6600,4,2,2,yes,1,yes,1378.7878787878788
8960000,8500,3,2,4,yes,2,no,1054.1176470588234
8890000,4600,3,2,2,yes,2,no,1932.608695652174
8855000,6420,3,2,2,yes,1,yes,1379.2834890965732
8750000,4320,3,1,2,no,2,no,2025.462962962963
8680000,7155,3,2,1,yes,2,no,1213.1376659678547
8645000,8050,3,1,1,yes,1,no,1073.9130434782608
8645000,4560,3,2,2,yes,1,no,1895.8333333333333
8575000,8800,3,2,2,yes,2,no,974.4318181818181
8540000,6540,4,2,2,yes,2,yes,1305.8103975535169
8463000,6000,3,2,4,yes,0,yes,1410.5
8400000,8875,3,1,1,no,1,no,946.4788732394367
8400000,7950,5,2,2,no,2,no,1056.6037735849056
8400000,5500,4,2,2,yes,1,yes,1527.2727272727273
8400000,7475,3,2,4,yes,2,no,1123.7458193979933
8400000,7000,3,1,4,yes,2,no,1200.0
8295000,4880,4,2,2,yes,1,yes,1699.795081967213
8190000,5960,3,3,2,no,1,no,1374.1610738255033
8120000,6840,5,1,2,yes,1,no,1187.1345029239767
8080940,7000,3,2,4,yes,2,no,1154.42
8043000,7482,3,2,3,no,1,yes,1074.979951884523
7980000,9000,4,2,4,yes,2,no,886.6666666666666
7962500,6000,3,1,4,yes,2,no,1327.0833333333333
7910000,6000,4,2,4,yes,1,no,1318.3333333333333
7875000,6550,3,1,2,yes,0,yes,1202.2900763358778
7840000,6360,3,2,4,yes,0,yes,1232.7044025157234
7700000,6480,3,2,4,yes,2,no,1188.2716049382716
7700000,6000,4,2,4,no,2,no,1283.3333333333333
7560000,6000,4,2,4,yes,1,no,1260.0
7560000,6000,3,2,3,yes,0,no,1260.0
7525000,6000,3,2,4,yes,1,no,1254.1666666666667
7490000,6600,3,1,4,yes,3,yes,1134.8484848484848
7455000,4300,3,2,2,no,1,no,1733.7209302325582
7420000,7440,3,2,1,yes,0,yes,997.3118279569892
7420000,7440,3,2,4,no,1,yes,997.3118279569892
7420000,6325,3,1,4,yes,1,no,1173.1225296442688
7350000,6000,4,2,4,yes,1,no,1225.0
7350000,5150,3,2,4,yes,2,no,1427.1844660194174
7350000,6000,3,2,2,yes,1,no,1225.0
7350000,6000,3,1,2,yes,1,no,1225.0
7343000,11440,4,1,2,no,1,yes,641.8706293706293
7245000,9000,4,2,4,yes,1,yes,805.0
7210000,7680,4,2,4,yes,1,no,938.8020833333334
7210000,6000,3,2,4,yes,1,no,1201.6666666666667
7140000,6000,3,2,2,no,1,no,1190.0
7070000,8880,2,1,1,yes,1,no,796.1711711711712
7070000,6240,4,2,2,yes,1,no,1133.0128205128206
7035000,6360,4,2,3,yes,2,yes,1106.132075471698
7000000,11175,3,1,1,yes,1,yes,626.3982102908277
6930000,8880,3,2,2,yes,1,no,780.4054054054054
6930000,13200,2,1,1,no,1,no,525.0
6895000,7700,3,2,1,no,2,no,895.4545454545455
6860000,6000,3,1,1,yes,1,no,1143.3333333333333
6790000,12090,4,2,2,no,2,yes,561.6211745244003
6790000,4000,3,2,2,yes,0,yes,1697.5
6755000,6000,4,2,4,yes,0,no,1125.8333333333333
6720000,5020,3,1,4,yes,0,yes,1338.6454183266933
